PREDICTION RESULTS
=================

Sample sample_00000023: Ground Truth: angry, Predicted: angry
Sample samplenew_00014522: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014530: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014545: Ground Truth: fear, Predicted: fear
Sample samplenew_00014565: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014579: Ground Truth: angry, Predicted: angry
Sample samplenew_00014595: Ground Truth: worried, Predicted: worried
Sample samplenew_00014608: Ground Truth: sad, Predicted: fear
Sample samplenew_00014639: Ground Truth: sad, Predicted: sad
Sample samplenew_00014644: Ground Truth: sad, Predicted: sad
Sample samplenew_00014672: Ground Truth: happy, Predicted: happy
Sample samplenew_00014703: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014705: Ground Truth: sad, Predicted: sad
Sample samplenew_00014720: Ground Truth: sad, Predicted: sad
Sample samplenew_00014722: Ground Truth: sad, Predicted: sad
Sample samplenew_00014727: Ground Truth: happy, Predicted: happy
Sample samplenew_00014736: Ground Truth: worried, Predicted: worried
Sample samplenew_00014779: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014785: Ground Truth: angry, Predicted: worried
Sample samplenew_00014789: Ground Truth: sad, Predicted: sad
Sample samplenew_00014792: Ground Truth: worried, Predicted: worried
Sample samplenew_00014800: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014810: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014821: Ground Truth: happy, Predicted: happy
Sample samplenew_00014832: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014861: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014891: Ground Truth: sad, Predicted: sad
Sample samplenew_00014927: Ground Truth: angry, Predicted: angry
Sample samplenew_00014970: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00014974: Ground Truth: happy, Predicted: happy
Sample samplenew_00014997: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00015003: Ground Truth: sad, Predicted: fear
Sample samplenew_00015008: Ground Truth: sad, Predicted: sad
Sample samplenew_00015015: Ground Truth: neutral, Predicted: happy
Sample samplenew_00015034: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015044: Ground Truth: happy, Predicted: happy
Sample samplenew_00015053: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015055: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015058: Ground Truth: sad, Predicted: sad
Sample samplenew_00015063: Ground Truth: contempt, Predicted: contempt
Sample samplenew_00015079: Ground Truth: neutral, Predicted: surprise
Sample samplenew_00015098: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015105: Ground Truth: angry, Predicted: angry
Sample samplenew_00015119: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015133: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015146: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015150: Ground Truth: worried, Predicted: worried
Sample samplenew_00015154: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015162: Ground Truth: worried, Predicted: worried
Sample samplenew_00015186: Ground Truth: angry, Predicted: angry
Sample samplenew_00015196: Ground Truth: happy, Predicted: happy
Sample samplenew_00015200: Ground Truth: sad, Predicted: worried
Sample samplenew_00015209: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015246: Ground Truth: happy, Predicted: happy
Sample samplenew_00015264: Ground Truth: worried, Predicted: worried
Sample samplenew_00015270: Ground Truth: angry, Predicted: angry
Sample samplenew_00015301: Ground Truth: sad, Predicted: sad
Sample samplenew_00015319: Ground Truth: sad, Predicted: fear
Sample samplenew_00015343: Ground Truth: fear, Predicted: worried
Sample samplenew_00015350: Ground Truth: sad, Predicted: sad
Sample samplenew_00015378: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015401: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015419: Ground Truth: happy, Predicted: happy
Sample samplenew_00015436: Ground Truth: sad, Predicted: sad
Sample samplenew_00015451: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015454: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015476: Ground Truth: neutral, Predicted: happy
Sample samplenew_00015477: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015478: Ground Truth: angry, Predicted: angry
Sample samplenew_00015501: Ground Truth: sad, Predicted: worried
Sample samplenew_00015506: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015509: Ground Truth: worried, Predicted: worried
Sample samplenew_00015558: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015572: Ground Truth: worried, Predicted: worried
Sample samplenew_00015584: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015593: Ground Truth: angry, Predicted: angry
Sample samplenew_00015603: Ground Truth: sad, Predicted: worried
Sample samplenew_00015607: Ground Truth: sad, Predicted: sad
Sample samplenew_00015631: Ground Truth: sad, Predicted: sad
Sample samplenew_00015637: Ground Truth: sad, Predicted: fear
Sample samplenew_00015656: Ground Truth: sad, Predicted: fear
Sample samplenew_00015668: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015672: Ground Truth: sad, Predicted: sad
Sample samplenew_00015673: Ground Truth: worried, Predicted: worried
Sample samplenew_00015678: Ground Truth: neutral, Predicted: sad
Sample samplenew_00015680: Ground Truth: worried, Predicted: worried
Sample samplenew_00015692: Ground Truth: angry, Predicted: angry
Sample samplenew_00015716: Ground Truth: happy, Predicted: happy
Sample samplenew_00015736: Ground Truth: fear, Predicted: fear
Sample samplenew_00015767: Ground Truth: sad, Predicted: sad
Sample samplenew_00015768: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015775: Ground Truth: doubt, Predicted: doubt
Sample samplenew_00015806: Ground Truth: angry, Predicted: fear
Sample samplenew_00015807: Ground Truth: worried, Predicted: worried
Sample samplenew_00015823: Ground Truth: happy, Predicted: happy
Sample samplenew_00015853: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00015857: Ground Truth: happy, Predicted: happy
Sample samplenew_00015896: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00015905: Ground Truth: sad, Predicted: sad
Sample samplenew_00015925: Ground Truth: sad, Predicted: sad
Sample samplenew_00015934: Ground Truth: sad, Predicted: sad
Sample samplenew_00015979: Ground Truth: sad, Predicted: sad
Sample samplenew_00015982: Ground Truth: angry, Predicted: sad
Sample samplenew_00016007: Ground Truth: happy, Predicted: happy
Sample samplenew_00016080: Ground Truth: fear, Predicted: worried
Sample samplenew_00016092: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016107: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016128: Ground Truth: sad, Predicted: sad
Sample samplenew_00016135: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016176: Ground Truth: angry, Predicted: sad
Sample samplenew_00016191: Ground Truth: happy, Predicted: happy
Sample samplenew_00016223: Ground Truth: worried, Predicted: worried
Sample samplenew_00016227: Ground Truth: angry, Predicted: worried
Sample samplenew_00016232: Ground Truth: sad, Predicted: worried
Sample samplenew_00016235: Ground Truth: angry, Predicted: angry
Sample samplenew_00016261: Ground Truth: sad, Predicted: worried
Sample samplenew_00016266: Ground Truth: sad, Predicted: sad
Sample samplenew_00016275: Ground Truth: sad, Predicted: sad
Sample samplenew_00016276: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016279: Ground Truth: sad, Predicted: worried
Sample samplenew_00016285: Ground Truth: worried, Predicted: worried
Sample samplenew_00016288: Ground Truth: sad, Predicted: sad
Sample samplenew_00016316: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016331: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016332: Ground Truth: sad, Predicted: fear
Sample samplenew_00016333: Ground Truth: angry, Predicted: angry
Sample samplenew_00016334: Ground Truth: angry, Predicted: angry
Sample samplenew_00016351: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016353: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016412: Ground Truth: angry, Predicted: angry
Sample samplenew_00016444: Ground Truth: angry, Predicted: sad
Sample samplenew_00016465: Ground Truth: sad, Predicted: sad
Sample samplenew_00016485: Ground Truth: sad, Predicted: sad
Sample samplenew_00016509: Ground Truth: happy, Predicted: happy
Sample samplenew_00016545: Ground Truth: sad, Predicted: sad
Sample samplenew_00016571: Ground Truth: happy, Predicted: happy
Sample samplenew_00016573: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016579: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016592: Ground Truth: sad, Predicted: sad
Sample samplenew_00016621: Ground Truth: angry, Predicted: angry
Sample samplenew_00016627: Ground Truth: angry, Predicted: fear
Sample samplenew_00016632: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016651: Ground Truth: angry, Predicted: angry
Sample samplenew_00016657: Ground Truth: angry, Predicted: angry
Sample samplenew_00016673: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016686: Ground Truth: sad, Predicted: sad
Sample samplenew_00016715: Ground Truth: sad, Predicted: fear
Sample samplenew_00016746: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016760: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016771: Ground Truth: sad, Predicted: worried
Sample samplenew_00016781: Ground Truth: neutral, Predicted: surprise
Sample samplenew_00016785: Ground Truth: sad, Predicted: sad
Sample samplenew_00016793: Ground Truth: happy, Predicted: happy
Sample samplenew_00016808: Ground Truth: angry, Predicted: angry
Sample samplenew_00016821: Ground Truth: sad, Predicted: sad
Sample samplenew_00016839: Ground Truth: happy, Predicted: happy
Sample samplenew_00016852: Ground Truth: happy, Predicted: happy
Sample samplenew_00016882: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016924: Ground Truth: sad, Predicted: sad
Sample samplenew_00016928: Ground Truth: angry, Predicted: fear
Sample samplenew_00016936: Ground Truth: sad, Predicted: sad
Sample samplenew_00016956: Ground Truth: angry, Predicted: angry
Sample samplenew_00016974: Ground Truth: happy, Predicted: happy
Sample samplenew_00016978: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00016988: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017001: Ground Truth: fear, Predicted: fear
Sample samplenew_00017018: Ground Truth: happy, Predicted: happy
Sample samplenew_00017023: Ground Truth: angry, Predicted: angry
Sample samplenew_00017052: Ground Truth: happy, Predicted: happy
Sample samplenew_00017059: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017083: Ground Truth: angry, Predicted: angry
Sample samplenew_00017183: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017186: Ground Truth: happy, Predicted: happy
Sample samplenew_00017197: Ground Truth: happy, Predicted: happy
Sample samplenew_00017201: Ground Truth: happy, Predicted: happy
Sample samplenew_00017325: Ground Truth: angry, Predicted: angry
Sample samplenew_00017336: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017349: Ground Truth: sad, Predicted: fear
Sample samplenew_00017360: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017378: Ground Truth: neutral, Predicted: worried
Sample samplenew_00017379: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017380: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017422: Ground Truth: happy, Predicted: happy
Sample samplenew_00017451: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00017473: Ground Truth: sad, Predicted: sad
Sample samplenew_00017483: Ground Truth: happy, Predicted: happy
Sample samplenew_00017494: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017505: Ground Truth: sad, Predicted: sad
Sample samplenew_00017523: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017528: Ground Truth: happy, Predicted: happy
Sample samplenew_00017536: Ground Truth: sad, Predicted: sad
Sample samplenew_00017545: Ground Truth: sad, Predicted: sad
Sample samplenew_00017558: Ground Truth: angry, Predicted: angry
Sample samplenew_00017570: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017574: Ground Truth: sad, Predicted: worried
Sample samplenew_00017580: Ground Truth: angry, Predicted: angry
Sample samplenew_00017676: Ground Truth: sad, Predicted: sad
Sample samplenew_00017692: Ground Truth: happy, Predicted: happy
Sample samplenew_00017707: Ground Truth: angry, Predicted: angry
Sample samplenew_00017724: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017729: Ground Truth: angry, Predicted: angry
Sample samplenew_00017782: Ground Truth: sad, Predicted: sad
Sample samplenew_00017802: Ground Truth: angry, Predicted: angry
Sample samplenew_00017805: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017830: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00017834: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017865: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017900: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017909: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017928: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017934: Ground Truth: worried, Predicted: worried
Sample samplenew_00017939: Ground Truth: worried, Predicted: fear
Sample samplenew_00017958: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00017959: Ground Truth: sad, Predicted: sad
Sample samplenew_00017962: Ground Truth: angry, Predicted: angry
Sample samplenew_00017971: Ground Truth: angry, Predicted: angry
Sample samplenew_00017976: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00018003: Ground Truth: angry, Predicted: angry
Sample samplenew_00018026: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018047: Ground Truth: sad, Predicted: sad
Sample samplenew_00018050: Ground Truth: sad, Predicted: sad
Sample samplenew_00018087: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018130: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018151: Ground Truth: sad, Predicted: sad
Sample samplenew_00018178: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018197: Ground Truth: angry, Predicted: angry
Sample samplenew_00018233: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018234: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018244: Ground Truth: sad, Predicted: sad
Sample samplenew_00018248: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00018257: Ground Truth: sad, Predicted: sad
Sample samplenew_00018263: Ground Truth: happy, Predicted: happy
Sample samplenew_00018286: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018292: Ground Truth: sad, Predicted: sad
Sample samplenew_00018304: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018332: Ground Truth: happy, Predicted: happy
Sample samplenew_00018382: Ground Truth: angry, Predicted: angry
Sample samplenew_00018385: Ground Truth: sad, Predicted: sad
Sample samplenew_00018389: Ground Truth: happy, Predicted: happy
Sample samplenew_00018423: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018434: Ground Truth: angry, Predicted: angry
Sample samplenew_00018435: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018453: Ground Truth: happy, Predicted: happy
Sample samplenew_00018461: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018488: Ground Truth: sad, Predicted: worried
Sample samplenew_00018498: Ground Truth: happy, Predicted: happy
Sample samplenew_00018516: Ground Truth: worried, Predicted: worried
Sample samplenew_00018517: Ground Truth: angry, Predicted: sad
Sample samplenew_00018529: Ground Truth: happy, Predicted: happy
Sample samplenew_00018548: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018564: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018566: Ground Truth: neutral, Predicted: surprise
Sample samplenew_00018571: Ground Truth: sad, Predicted: sad
Sample samplenew_00018585: Ground Truth: angry, Predicted: angry
Sample samplenew_00018610: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018612: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018631: Ground Truth: angry, Predicted: angry
Sample samplenew_00018638: Ground Truth: happy, Predicted: happy
Sample samplenew_00018647: Ground Truth: worried, Predicted: worried
Sample samplenew_00018660: Ground Truth: sad, Predicted: sad
Sample samplenew_00018677: Ground Truth: worried, Predicted: worried
Sample samplenew_00018682: Ground Truth: sad, Predicted: sad
Sample samplenew_00018685: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018696: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018713: Ground Truth: doubt, Predicted: neutral
Sample samplenew_00018718: Ground Truth: sad, Predicted: sad
Sample samplenew_00018733: Ground Truth: angry, Predicted: fear
Sample samplenew_00018752: Ground Truth: surprise, Predicted: happy
Sample samplenew_00018756: Ground Truth: happy, Predicted: happy
Sample samplenew_00018757: Ground Truth: angry, Predicted: angry
Sample samplenew_00018760: Ground Truth: angry, Predicted: angry
Sample samplenew_00018761: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018762: Ground Truth: happy, Predicted: happy
Sample samplenew_00018773: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018797: Ground Truth: sad, Predicted: fear
Sample samplenew_00018813: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00018822: Ground Truth: sad, Predicted: sad
Sample samplenew_00018835: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018836: Ground Truth: sad, Predicted: worried
Sample samplenew_00018850: Ground Truth: happy, Predicted: happy
Sample samplenew_00018851: Ground Truth: worried, Predicted: worried
Sample samplenew_00018863: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00018867: Ground Truth: happy, Predicted: happy
Sample samplenew_00018921: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00018966: Ground Truth: happy, Predicted: happy
Sample samplenew_00018978: Ground Truth: angry, Predicted: angry
Sample samplenew_00019008: Ground Truth: sad, Predicted: fear
Sample samplenew_00019027: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019035: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019054: Ground Truth: angry, Predicted: angry
Sample samplenew_00019059: Ground Truth: doubt, Predicted: doubt
Sample samplenew_00019074: Ground Truth: sad, Predicted: sad
Sample samplenew_00019078: Ground Truth: angry, Predicted: fear
Sample samplenew_00019096: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019116: Ground Truth: neutral, Predicted: happy
Sample samplenew_00019142: Ground Truth: sad, Predicted: sad
Sample samplenew_00019163: Ground Truth: neutral, Predicted: sad
Sample samplenew_00019171: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019202: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019217: Ground Truth: angry, Predicted: angry
Sample samplenew_00019293: Ground Truth: sad, Predicted: sad
Sample samplenew_00019325: Ground Truth: angry, Predicted: angry
Sample samplenew_00019340: Ground Truth: happy, Predicted: happy
Sample samplenew_00019341: Ground Truth: happy, Predicted: happy
Sample samplenew_00019381: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019387: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019403: Ground Truth: angry, Predicted: neutral
Sample samplenew_00019427: Ground Truth: angry, Predicted: angry
Sample samplenew_00019429: Ground Truth: sad, Predicted: worried
Sample samplenew_00019444: Ground Truth: worried, Predicted: worried
Sample samplenew_00019449: Ground Truth: sad, Predicted: sad
Sample samplenew_00019451: Ground Truth: fear, Predicted: fear
Sample samplenew_00019457: Ground Truth: angry, Predicted: angry
Sample samplenew_00019464: Ground Truth: sad, Predicted: worried
Sample samplenew_00019478: Ground Truth: sad, Predicted: sad
Sample samplenew_00019495: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019513: Ground Truth: angry, Predicted: angry
Sample samplenew_00019541: Ground Truth: sad, Predicted: sad
Sample samplenew_00019625: Ground Truth: angry, Predicted: angry
Sample samplenew_00019628: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019649: Ground Truth: angry, Predicted: sad
Sample samplenew_00019666: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019679: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019705: Ground Truth: sad, Predicted: sad
Sample samplenew_00019723: Ground Truth: angry, Predicted: surprise
Sample samplenew_00019771: Ground Truth: worried, Predicted: worried
Sample samplenew_00019787: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019805: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019808: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019816: Ground Truth: worried, Predicted: worried
Sample samplenew_00019852: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00019855: Ground Truth: angry, Predicted: angry
Sample samplenew_00019872: Ground Truth: happy, Predicted: happy
Sample samplenew_00019876: Ground Truth: happy, Predicted: happy
Sample samplenew_00019887: Ground Truth: doubt, Predicted: doubt
Sample samplenew_00019923: Ground Truth: angry, Predicted: angry
Sample samplenew_00019931: Ground Truth: happy, Predicted: happy
Sample samplenew_00019956: Ground Truth: sad, Predicted: sad
Sample samplenew_00019962: Ground Truth: sad, Predicted: sad
Sample samplenew_00019980: Ground Truth: sad, Predicted: fear
Sample samplenew_00019998: Ground Truth: happy, Predicted: happy
Sample samplenew_00020001: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020012: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020013: Ground Truth: happy, Predicted: happy
Sample samplenew_00020049: Ground Truth: happy, Predicted: happy
Sample samplenew_00020068: Ground Truth: sad, Predicted: sad
Sample samplenew_00020110: Ground Truth: sad, Predicted: sad
Sample samplenew_00020136: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020138: Ground Truth: angry, Predicted: angry
Sample samplenew_00020142: Ground Truth: sad, Predicted: sad
Sample samplenew_00020149: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020163: Ground Truth: angry, Predicted: angry
Sample samplenew_00020179: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020234: Ground Truth: sad, Predicted: sad
Sample samplenew_00020236: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020245: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020258: Ground Truth: happy, Predicted: neutral
Sample samplenew_00020275: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020280: Ground Truth: sad, Predicted: sad
Sample samplenew_00020298: Ground Truth: angry, Predicted: angry
Sample samplenew_00020299: Ground Truth: angry, Predicted: angry
Sample samplenew_00020307: Ground Truth: angry, Predicted: angry
Sample samplenew_00020321: Ground Truth: angry, Predicted: worried
Sample samplenew_00020323: Ground Truth: happy, Predicted: happy
Sample samplenew_00020342: Ground Truth: doubt, Predicted: doubt
Sample samplenew_00020369: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020391: Ground Truth: worried, Predicted: worried
Sample samplenew_00020392: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020393: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020429: Ground Truth: sad, Predicted: sad
Sample samplenew_00020444: Ground Truth: happy, Predicted: happy
Sample samplenew_00020500: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020502: Ground Truth: neutral, Predicted: happy
Sample samplenew_00020507: Ground Truth: angry, Predicted: angry
Sample samplenew_00020519: Ground Truth: happy, Predicted: happy
Sample samplenew_00020550: Ground Truth: sad, Predicted: fear
Sample samplenew_00020555: Ground Truth: angry, Predicted: angry
Sample samplenew_00020561: Ground Truth: sad, Predicted: sad
Sample samplenew_00020567: Ground Truth: sad, Predicted: sad
Sample samplenew_00020574: Ground Truth: sad, Predicted: sad
Sample samplenew_00020590: Ground Truth: happy, Predicted: neutral
Sample samplenew_00020594: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020603: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020625: Ground Truth: happy, Predicted: happy
Sample samplenew_00020628: Ground Truth: angry, Predicted: happy
Sample samplenew_00020642: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020644: Ground Truth: worried, Predicted: worried
Sample samplenew_00020667: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020731: Ground Truth: sad, Predicted: sad
Sample samplenew_00020761: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020767: Ground Truth: sad, Predicted: sad
Sample samplenew_00020800: Ground Truth: sad, Predicted: sad
Sample samplenew_00020814: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00020823: Ground Truth: sad, Predicted: sad
Sample samplenew_00020844: Ground Truth: worried, Predicted: worried
Sample samplenew_00020882: Ground Truth: sad, Predicted: sad
Sample samplenew_00020891: Ground Truth: worried, Predicted: worried
Sample samplenew_00020894: Ground Truth: sad, Predicted: fear
Sample samplenew_00020896: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020899: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020908: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020917: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020926: Ground Truth: worried, Predicted: worried
Sample samplenew_00020939: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00020985: Ground Truth: happy, Predicted: happy
Sample samplenew_00021024: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021040: Ground Truth: happy, Predicted: happy
Sample samplenew_00021046: Ground Truth: angry, Predicted: angry
Sample samplenew_00021061: Ground Truth: sad, Predicted: sad
Sample samplenew_00021064: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021083: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021106: Ground Truth: happy, Predicted: happy
Sample samplenew_00021123: Ground Truth: surprise, Predicted: happy
Sample samplenew_00021124: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021146: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021151: Ground Truth: angry, Predicted: neutral
Sample samplenew_00021159: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021180: Ground Truth: angry, Predicted: angry
Sample samplenew_00021186: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021188: Ground Truth: sad, Predicted: sad
Sample samplenew_00021194: Ground Truth: happy, Predicted: happy
Sample samplenew_00021197: Ground Truth: sad, Predicted: sad
Sample samplenew_00021207: Ground Truth: happy, Predicted: happy
Sample samplenew_00021214: Ground Truth: happy, Predicted: happy
Sample samplenew_00021240: Ground Truth: sad, Predicted: sad
Sample samplenew_00021307: Ground Truth: worried, Predicted: worried
Sample samplenew_00021344: Ground Truth: happy, Predicted: happy
Sample samplenew_00021369: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021391: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021399: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021412: Ground Truth: sad, Predicted: sad
Sample samplenew_00021417: Ground Truth: worried, Predicted: worried
Sample samplenew_00021454: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021457: Ground Truth: happy, Predicted: happy
Sample samplenew_00021458: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021459: Ground Truth: sad, Predicted: sad
Sample samplenew_00021473: Ground Truth: angry, Predicted: angry
Sample samplenew_00021479: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021488: Ground Truth: worried, Predicted: worried
Sample samplenew_00021491: Ground Truth: fear, Predicted: fear
Sample samplenew_00021522: Ground Truth: angry, Predicted: angry
Sample samplenew_00021528: Ground Truth: sad, Predicted: sad
Sample samplenew_00021578: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021590: Ground Truth: contempt, Predicted: contempt
Sample samplenew_00021607: Ground Truth: neutral, Predicted: neutral
Sample samplenew_00021615: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00021617: Ground Truth: angry, Predicted: angry
Sample samplenew_00021623: Ground Truth: angry, Predicted: angry
Sample samplenew_00021719: Ground Truth: sad, Predicted: sad
Sample samplenew_00021771: Ground Truth: surprise, Predicted: surprise
Sample samplenew_00021833: Ground Truth: happy, Predicted: happy
Sample samplenew_00021845: Ground Truth: worried, Predicted: worried
Sample samplenew_00021875: Ground Truth: sad, Predicted: sad
Sample samplenew_00021885: Ground Truth: sad, Predicted: sad
Sample samplenew_00021895: Ground Truth: sad, Predicted: sad
